czas,czujnik1,czujnik2
  5687,99525.59,102740.75
  5695,99526.19,102741.03
  5704,99526.23,102741.11
  5712,99527.00,102741.36
  5721,99527.05,102741.44
  5729,99527.30,102741.92
  5738,99527.64,102742.25
  5746,99528.12,102742.12
  5754,99527.44,102742.34
  5763,99528.17,102742.50
  5771,99527.98,102742.58
  5780,99528.42,102742.39
  5788,99528.25,102742.27
  5797,99528.50,102742.56
  5805,99528.38,102742.33
  5814,99527.94,102742.28
  5821,99527.91,102742.81
  5830,99527.92,102742.50
  5838,99527.84,102743.09
  5847,99527.97,102742.23
  5855,99527.95,102742.59
  5863,99527.52,102742.42
  5872,99526.55,102742.12
  5881,99527.06,102741.94
  5889,99526.31,102742.00
  5898,99526.05,102741.72
  5906,99525.67,102741.69
  5915,99526.08,102740.95
  5923,99525.50,102741.09
  5931,99525.27,102740.88
  5940,99525.25,102740.42
  5948,99524.88,102740.20
  5957,99525.33,102740.64
  5965,99524.88,102740.59
  5974,99524.69,102740.81
  5981,99525.23,102740.47
  5990,99525.23,102740.67
  5998,99524.94,102741.17
  6008,99525.20,102741.28
  6015,99525.47,102740.91
  6024,99525.61,102741.50
  6032,99526.39,102742.19
  6041,99526.20,102742.20
  6049,99526.27,102742.86
  6058,99526.61,102743.23
  6066,99527.88,102742.78
  6074,99527.58,102743.08
  6083,99528.06,102743.28
  6092,99528.06,102742.97
  6100,99528.17,102743.11
  6109,99528.73,102743.27
  6117,99527.88,102742.97
  6126,99528.25,102743.38
  6134,99528.30,102743.67
  6142,99528.64,102742.94
  6151,99528.23,102743.06
  6159,99528.34,102743.08
  6168,99527.39,102743.23
  6176,99527.58,102743.03
  6184,99527.47,102743.42
  6193,99527.12,102743.23
  6201,99526.95,102742.98
  6210,99526.86,102742.61
  6218,99526.50,102742.69
  6226,99526.39,102742.11
  6235,99526.12,102742.16
  6244,99526.33,102742.27
  6252,99525.86,102742.20
  6261,99525.42,102741.81
  6268,99525.53,102741.91
  6277,99525.47,102741.47
  6285,99525.14,102741.12
  6294,99525.34,102740.91
  6302,99525.42,102741.30
  6311,99524.95,102741.61
  6319,99524.77,102741.75
  6327,99525.58,102741.55
  6336,99525.00,102741.56
  6345,99525.12,102741.41
  6353,99525.28,102741.56
  6361,99525.69,102742.34
  6370,99526.16,102742.30
  6378,99526.56,102742.89
  6386,99527.17,102743.17
  6395,99527.16,102743.17
  6404,99527.42,102744.00
  6412,99528.00,102743.73
  6421,99527.84,102744.42
  6429,99528.78,102743.92
  6438,99528.81,102744.42
  6445,99528.78,102744.91
  6454,99529.16,102744.67
  6462,99529.38,102745.02
  6471,99529.56,102744.98
  6479,99529.52,102745.05
  6488,99529.25,102745.31
  6496,99528.58,102745.25
  6504,99529.22,102745.05
  6513,99529.33,102744.58
  6521,99529.30,102745.23
  6530,99529.06,102744.39
  6539,99528.56,102744.86
  6547,99528.55,102744.45
  6556,99528.36,102744.38
  6564,99528.19,102744.42
  6572,99527.97,102743.88
  6580,99527.77,102743.75
  6589,99527.67,102743.59
  6598,99527.22,102743.28
  6605,99526.88,102743.20
  6614,99527.03,102742.91
  6622,99526.84,102742.72
  6631,99526.12,102742.55
  6640,99525.91,102742.48
  6649,99525.88,102742.70
  6656,99525.91,102742.66
  6665,99525.78,102742.08
  6673,99525.44,102742.55
  6682,99525.69,102742.97
  6690,99525.83,102742.70
  6698,99525.73,102742.59
  6707,99526.11,102742.70
  6716,99525.97,102742.77
  6724,99526.05,102743.12
  6733,99526.19,102743.61
  6742,99526.47,102744.09
  6750,99527.20,102744.31
  6759,99527.70,102744.31
  6767,99527.83,102745.14
  6775,99527.81,102745.25
  6784,99529.34,102745.28
  6792,99529.44,102745.31
  6801,99529.33,102745.41
  6809,99529.80,102745.75
  6818,99530.02,102745.84
  6825,99529.88,102745.80
  6834,99530.00,102746.22
  6843,99530.31,102746.16
  6851,99530.33,102746.44
  6859,99530.22,102746.31
  6868,99530.25,102746.44
  6876,99530.08,102746.77
  6884,99529.88,102746.03
  6893,99530.28,102746.22
  6902,99529.75,102745.75
  6910,99529.69,102746.17
  6918,99529.75,102745.75
  6926,99529.45,102745.27
  6934,99529.38,102744.92
  6944,99529.06,102745.28
  6952,99528.67,102745.03
  6961,99528.50,102745.31
  6969,99528.55,102744.55
  6977,99528.48,102744.91
  6985,99527.72,102744.77
  6994,99527.36,102743.81
  7002,99527.58,102743.89
  7011,99527.12,102743.56
  7019,99526.69,102744.02
  7028,99527.05,102743.91
  7036,99526.45,102743.83
  7045,99527.00,102743.94
  7052,99526.83,102743.83
  7062,99527.06,102743.91
  7070,99526.80,102743.44
  7078,99526.58,102744.22
  7086,99526.95,102744.19
  7095,99527.66,102744.47
  7103,99527.61,102744.45
  7112,99528.58,102744.84
  7120,99529.38,102745.56
  7129,99528.92,102745.45
  7137,99529.55,102745.88
  7146,99530.48,102745.97
  7154,99530.31,102746.08
  7163,99530.11,102746.45
  7171,99530.41,102746.77
  7180,99531.11,102746.45
  7187,99530.00,102746.64
  7196,99530.78,102746.80
  7205,99530.88,102747.03
  7213,99530.67,102747.08
  7222,99530.83,102746.62
  7230,99531.28,102747.00
  7239,99531.20,102746.89
  7247,99530.78,102746.70
  7256,99530.89,102746.77
  7263,99530.66,102747.27
  7272,99530.78,102746.72
  7280,99530.50,102747.09
  7289,99530.22,102746.31
  7297,99529.73,102746.22
  7306,99529.53,102746.33
  7314,99529.67,102746.27
  7322,99528.70,102745.14
  7331,99529.11,102745.34
  7339,99528.77,102745.19
  7348,99529.00,102745.53
  7356,99528.42,102745.19
  7364,99528.56,102745.11
  7373,99527.78,102745.12
  7381,99528.38,102744.75
  7390,99528.45,102745.22
  7398,99528.09,102744.78
  7407,99527.95,102745.28
  7415,99528.41,102745.08
  7424,99528.22,102745.02
  7432,99528.52,102745.36
  7441,99529.30,102745.78
  7449,99529.14,102745.97
  7457,99529.67,102745.84
  7466,99529.97,102746.39
  7474,99530.69,102746.38
  7482,99530.34,102746.67
  7491,99530.89,102746.78
  7499,99530.61,102746.66
  7508,99531.25,102747.03
  7516,99531.25,102747.41
  7525,99531.83,102746.91
  7533,99531.38,102747.03
  7542,99531.81,102747.20
  7550,99531.11,102747.08
  7559,99531.78,102747.62
  7567,99531.81,102747.41
  7575,99531.50,102747.38
  7584,99531.72,102747.14
  7592,99531.48,102747.05
  7601,99531.34,102747.02
  7609,99531.05,102746.53
  7618,99530.53,102747.25
  7627,99530.50,102746.88
  7634,99530.77,102746.95
  7643,99529.94,102746.66
  7651,99530.31,102746.22
  7660,99530.03,102746.17
  7668,99529.72,102746.33
  7677,99529.81,102746.22
  7686,99529.88,102746.02
  7694,99529.27,102745.67
  7703,99529.67,102745.25
  7711,99529.25,102745.45
  7718,99528.95,102745.73
  7727,99529.16,102746.02
  7736,99529.23,102745.61
  7744,99529.45,102746.28
  7753,99529.97,102746.16
  7761,99530.19,102746.66
  7769,99530.20,102747.28
  7779,99530.47,102746.42
  7787,99530.34,102747.05
  7794,99530.88,102747.58
  7804,99531.16,102747.89
  7811,99531.83,102747.61
  7820,99531.62,102747.80
  7829,99532.22,102747.75
  7836,99531.50,102747.95
  7845,99532.09,102748.16
  7853,99532.59,102747.72
  7863,99532.67,102747.95
  7870,99532.48,102748.11
  7879,99532.86,102748.12
  7888,99533.27,102747.94
  7896,99533.25,102748.27
  7905,99532.95,102749.16
  7913,99533.33,102748.61
  7922,99533.36,102748.31
  7929,99533.47,102748.92
  7938,99533.14,102748.61
  7946,99533.03,102748.84
  7955,99532.86,102747.64
  7963,99532.86,102748.52
  7971,99532.62,102747.80
  7980,99533.00,102747.41
  7989,99531.95,102747.61
  7997,99532.33,102747.73
  8005,99532.61,102747.81
  8014,99531.64,102747.16
  8023,99532.22,102747.41
  8031,99531.69,102746.97
  8039,99530.94,102746.89
  8048,99531.31,102747.36
  8056,99532.05,102747.03
  8065,99531.20,102747.09
  8073,99531.38,102746.81
  8081,99530.89,102747.05
  8090,99531.19,102746.77
  8098,99531.34,102746.91
  8107,99531.14,102746.67
  8116,99531.27,102747.02
  8123,99531.91,102747.78
  8132,99531.81,102747.45
  8141,99532.09,102747.69
  8149,99532.19,102747.77
  8158,99532.50,102748.27
  8166,99533.00,102747.84
  8174,99532.92,102747.77
  8183,99533.42,102748.08
  8192,99533.75,102748.62
  8200,99533.27,102748.84
  8207,99533.89,102748.91
  8216,99534.47,102748.84
  8225,99534.53,102748.92
  8233,99534.08,102748.86
  8242,99534.39,102749.08
  8250,99534.55,102748.88
  8258,99533.98,102748.62
  8267,99533.64,102748.50
  8275,99534.45,102749.22
  8284,99534.16,102749.08
  8292,99534.28,102748.44
  8300,99533.81,102748.84
  8309,99533.14,102749.09
  8317,99533.58,102748.34
  8325,99532.72,102748.45
  8334,99532.58,102748.53
  8343,99532.23,102748.08
  8351,99532.67,102748.33
  8360,99532.25,102747.42
  8368,99531.80,102747.47
  8377,99531.58,102747.95
  8385,99532.30,102747.52
  8393,99531.48,102747.50
  8402,99530.94,102747.11
  8410,99531.27,102747.75
  8419,99530.72,102746.59
  8427,99531.09,102747.28
  8436,99531.06,102747.31
  8444,99530.72,102746.94
  8452,99530.91,102747.84
  8461,99531.16,102747.48
