		sensor 1
		sensor 2
		sensor 1
		sensor 2
 11557;100012.20;102064.02
 11580;100011.84;102063.14
 11602;100012.17;102062.88
 11627;100011.80;102063.17
 11649;100011.89;102064.55
 11672;100011.92;102065.16
 11696;100011.95;102064.88
 11718;100011.86;102065.00
 11742;100011.97;102065.52
 11765;100011.62;102065.11
 11788;100011.81;102065.98
 11812;100012.23;102066.50
 11834;100012.00;102067.22
 11858;100011.73;102066.64
 11881;100011.89;102067.45
 11903;100012.19;102068.28
 11927;100011.95;102068.05
 11951;100011.86;102070.41
 11973;100011.56;102069.56
 11997;100011.69;102070.03
 12020;100012.23;102070.78
 12043;100011.70;102071.22
 12067;100011.66;102072.22
 12089;100011.78;102071.92
 12112;100011.94;102073.31
 12135;100011.84;102073.17
 12158;100012.41;102073.61
 12182;100011.91;102075.58
 12205;100011.61;102075.84
 12228;100011.88;102076.80
 12252;100011.88;102077.95
 12275;100011.91;102078.55
 12297;100011.91;102078.52
 12321;100012.06;102079.36
 12344;100011.84;102080.22
 12367;100011.75;102081.31
 12390;100012.00;102082.22
 12414;100011.73;102081.66
 12437;100011.95;102082.75
 12459;100012.25;102084.36
 12483;100011.72;102084.44
 12506;100012.33;102085.61
 12529;100012.11;102087.08
 12552;100012.05;102087.31
 12576;100012.09;102088.41
 12599;100012.05;102088.98
 12622;100012.06;102089.80
 12646;100011.98;102090.95
 12668;100012.28;102091.69
 12691;100012.41;102092.25
 12715;100011.86;102092.92
 12738;100011.58;102093.17
 12761;100011.48;102094.05
 12784;100011.69;102095.34
 12807;100012.14;102096.73
 12831;100011.89;102095.70
 12853;100011.92;102097.19
 12877;100011.89;102098.42
 12899;100012.12;102098.94
 12923;100011.70;102100.03
 12947;100011.92;102100.25
 12969;100012.08;102101.47
 12993;100011.75;102102.77
 13016;100011.66;102103.45
 13039;100012.28;102103.30
 13062;100011.97;102104.62
 13086;100012.00;102106.19
 13109;100012.14;102105.98
 13131;100012.28;102107.91
 13154;100012.42;102107.84
 13178;100011.94;102108.66
 13201;100012.06;102110.16
 13224;100012.14;102109.98
 13248;100011.94;102111.53
 13271;100011.78;102113.06
 13293;100012.27;102113.17
 13317;100012.12;102114.42
 13340;100012.03;102113.97
 13363;100011.92;102115.92
 13387;100012.38;102116.33
 13410;100011.88;102117.05
 13432;100011.86;102117.67
 13456;100011.64;102119.09
 13479;100012.11;102119.92
 13502;100012.08;102120.19
 13525;100012.19;102121.23
 13549;100011.83;102121.97
 13572;100011.75;102121.61
 13595;100011.95;102123.59
 13619;100012.36;102124.16
 13641;100012.06;102125.05
 13664;100012.03;102124.89
 13688;100012.12;102126.94
 13711;100012.58;102127.56
 13734;100011.89;102128.70
 13756;100011.94;102128.67
 13781;100012.12;102130.50
 13803;100012.48;102129.98
 13826;100012.42;102132.38
 13850;100012.31;102131.95
 13873;100012.38;102132.47
 13896;100012.12;102133.41
 13919;100012.23;102134.52
 13943;100012.70;102135.27
 13965;100012.42;102135.41
 13988;100012.06;102135.81
 14012;100012.31;102137.83
 14035;100012.08;102138.36
 14058;100011.92;102138.97
 14081;100011.89;102138.97
 14105;100011.88;102139.77
 14128;100011.88;102141.00
 14150;100011.78;102141.19
 14174;100012.19;102142.22
 14197;100012.33;102142.61
 14220;100012.25;102143.62
 14244;100012.33;102144.06
 14267;100012.14;102145.03
 14290;100012.06;102146.09
 14313;100012.11;102146.64
 14336;100012.66;102147.23
 14359;100012.31;102147.59
 14382;100012.53;102149.34
 14406;100011.92;102149.45
 14429;100011.80;102150.22
 14452;100012.22;102150.92
 14474;100012.30;102150.98
 14498;100012.08;102152.31
 14521;100012.80;102152.38
 14544;100012.45;102154.08
 14568;100012.56;102154.30
 14591;100011.89;102154.39
 14614;100011.88;102154.52
 14638;100012.42;102155.19
 14660;100012.41;102155.94
 14683;100011.48;102156.92
 14707;100012.42;102157.11
 14730;100012.42;102158.39
 14753;100012.45;102159.86
 14777;100012.30;102159.97
 14800;100011.98;102160.16
 14822;100012.20;102159.56
 14845;100012.56;102161.19
 14869;100012.23;102161.95
 14892;100012.33;102162.22
 14915;100012.34;102163.00
 14939;100011.97;102163.44
 14962;100012.08;102164.33
 14985;100011.91;102165.34
 15007;100012.55;102165.70
 15031;100012.17;102165.56
 15054;100012.77;102167.00
 15077;100012.38;102166.78
 15100;100012.45;102167.67
 15124;100012.12;102168.53
 15147;100012.73;102169.20
 15170;100012.23;102170.12
 15193;100012.23;102170.59
 15216;100012.61;102170.33
 15239;100012.47;102171.17
 15263;100012.09;102171.83
 15286;100012.36;102172.38
 15309;100012.69;102173.02
 15333;100011.75;102173.09
 15355;100012.42;102173.64
 15378;100012.16;102174.55
 15402;100012.19;102175.48
 15425;100012.56;102174.88
 15448;100012.42;102176.66
 15471;100012.20;102177.02
 15495;100011.98;102177.38
 15517;100011.88;102176.89
 15540;100012.44;102178.42
 15564;100012.27;102178.53
 15587;100012.17;102178.95
 15610;100012.52;102179.42
 15634;100012.39;102179.88
 15656;100012.94;102180.42
 15679;100012.17;102181.20
 15703;100012.34;102181.39
 15726;100012.39;102181.34
 15749;100012.31;102182.83
 15772;100011.98;102183.17
 15796;100012.25;102183.06
 15819;100012.45;102182.44
 15841;100012.12;102184.02
 15865;100012.70;102183.28
 15889;100012.41;102185.53
 15911;100012.38;102186.69
 15934;100012.66;102185.97
 15957;100012.27;102186.23
 15981;100012.12;102186.80
 16004;100012.34;102186.98
 16027;100012.36;102188.11
 16051;100012.45;102187.95
 16073;100012.48;102188.38
 16096;100012.00;102188.45
 16120;100012.50;102189.28
 16143;100012.58;102190.27
 16166;100012.86;102190.59
 16189;100012.62;102190.48
 16213;100012.20;102190.84
 16235;100012.20;102191.36
 16258;100012.56;102191.38
 16282;100013.27;102192.00
 16305;100012.62;102192.58
 16328;100012.19;102191.92
 16352;100012.48;102192.84
 16375;100012.31;102193.50
 16397;100012.45;102193.84
 16420;100012.59;102194.11
 16444;100012.31;102194.33
 16467;100012.52;102195.17
 16490;100012.23;102195.20
 16514;100011.97;102196.02
 16537;100012.80;102195.78
 16560;100012.11;102196.80
 16583;100012.03;102196.89
 16606;100012.36;102197.67
 16629;100013.00;102198.23
 16652;100012.34;102197.81
 16676;100012.06;102197.78
 16699;100012.36;102197.66
 16722;100012.23;102198.75
 16746;100012.39;102198.91
 16768;100012.36;102199.30
 16791;100012.58;102200.38
 16814;100011.98;102201.11
 16838;100012.47;102201.27
 16861;100012.30;102200.08
 16884;100012.92;102200.86
 16908;100012.50;102201.30
 16930;100012.53;102202.34
 16953;100012.73;102201.27
 16977;100012.33;102202.62
 17000;100012.64;102202.75
 17023;100012.58;102202.53
 17047;100012.58;102203.52
 17070;100012.84;102203.55
 17092;100012.42;102204.83
 17115;100012.44;102204.69
 17139;100012.50;102204.83
 17162;100012.44;102205.44
 17185;100012.47;102204.84
 17209;100012.25;102205.50
 17232;100012.48;102206.62
 17255;100012.67;102205.78
 17277;100012.78;102205.33
 17301;100013.19;102206.52
 17324;100012.34;102206.38
