		sensor 1
		sensor 2
		sensor 1
		sensor 2
Connecting to server... 
Connected to server at 192.168.100.10:5000
  4851;97693.39;107513.77
  4859;97693.39;107513.34
  4867;97693.73;107513.59
  4876;97693.84;107513.62
  4885;97693.23;107513.81
  4893;97693.30;107513.66
  4901;97693.22;107513.72
  4910;97693.47;107513.48
  4918;97693.09;107513.31
  4926;97693.47;107513.81
  4936;97693.22;107513.64
  4944;97693.70;107513.62
  4952;97693.31;107513.53
  4961;97693.25;107513.70
  4968;97693.56;107513.59
  4978;97693.34;107513.42
  4985;97693.27;107513.66
  4994;97693.19;107513.48
  5003;97693.08;107513.64
  5011;97693.45;107513.27
  5020;97693.36;107514.02
  5028;97693.33;107513.39
  5036;97693.50;107513.25
  5045;97693.41;107513.67
  5053;97693.09;107513.34
  5062;97693.67;107513.31
  5070;97693.05;107513.52
  5079;97693.45;107513.75
  5087;97693.25;107513.09
  5096;97692.72;107513.72
  5103;97693.00;107513.70
  5112;97693.09;107513.58
  5120;97693.31;107514.00
  5128;97693.20;107513.36
  5137;97693.42;107513.23
  5145;97693.45;107513.06
  5154;97693.56;107513.22
  5162;97693.20;107513.23
  5171;97693.52;107513.33
  5179;97693.19;107513.44
  5188;97693.14;107513.72
  5196;97693.02;107513.83
  5205;97692.92;107513.36
  5213;97692.64;107513.77
  5221;97692.89;107513.36
  5229;97693.44;107513.27
  5239;97693.16;107513.75
  5247;97692.97;107513.52
  5255;97693.12;107513.23
  5264;97693.58;107513.73
  5273;97693.36;107513.47
  5280;97693.59;107513.48
  5289;97693.09;107513.02
  5297;97693.33;107513.47
  5306;97693.67;107513.12
  5314;97693.48;107513.59
  5323;97693.27;107513.34
  5331;97693.42;107513.77
  5340;97693.30;107513.62
  5348;97693.66;107513.64
  5356;97693.28;107513.20
  5365;97693.23;107513.25
  5373;97693.14;107513.81
  5382;97692.97;107513.30
  5390;97693.27;107513.27
  5399;97693.25;107513.44
  5407;97693.20;107513.62
